gridID,EF1,EF2,EF3,EF4,EF5,EF6,EF7,EF8,EF9,EF10,EF11,EF12,EF13,EF14,EF15,EF16,EF17,EF18,EF19,LDF3,LDF4,LDF5,LDF6
1,2.353419,0.0048757153722419995,0.238741229517816,0.220085297138362,0.07591956995103899,0.12820822322186,0.026589,0.20622500000000002,0.03569943867541,0.02499895911694,1.1282783646776,0.28256000000000003,0.49448,0.24658000000000002,0.9967143867541,0.08863000000000001,0.17726000000000003,0.035452,0.8863,0.44315,0.7090400000000001,0.26588999999999996,0.35452000000000006
2,2.010258,0.005375788743753999,0.21105174023759202,0.198814430178194,0.07014611558704299,0.11875765637282001,0.026817,0.24103,0.03238289392417,0.02304292928278,1.0790371713112001,0.27030000000000004,0.47302500000000003,0.22667000000000004,0.9910589392417,0.08939000000000001,0.17878000000000002,0.035756,0.8939,0.44695,0.7151200000000001,0.26817,0.35756000000000004
3,1.6646978,0.009726427075908399,0.1768896834996432,0.17111698762473238,0.06285216262027779,0.10809622478617201,0.026543999999999998,0.280265,0.027883254588382,0.020337169725588,0.9921667890235201,0.24902000000000002,0.435785,0.19657000000000002,0.96706254588382,0.08848,0.17696,0.035392,0.8848,0.4424,0.70784,0.26544,0.35392
4,2.9896132,0.029779369273539594,0.2727006633626608,0.2417685225219956,0.0923819426240382,0.16420399413966802,0.027164999999999998,0.18608000000000002,0.041808710063657994,0.028915473375772,1.18649893503088,0.29962,0.524335,0.26833,1.05525710063658,0.09055,0.1811,0.03622,0.9055,0.45275,0.7244,0.27164999999999995,0.3622
5,4.9579398,0.08873801977480439,0.3920203772242512,0.3225650079181884,0.1406013731089098,0.264831662637852,0.02808,0.08244000000000001,0.061508183892462,0.041269455928307996,1.39853823713232,0.35856,0.62748,0.35064000000000006,1.20044183892462,0.09360000000000002,0.18720000000000003,0.03744,0.9359999999999999,0.46799999999999997,0.7488000000000001,0.2808,0.37440000000000007
6,3.2134504,0.037555510200551194,0.2877888550551776,0.2515621912913832,0.0995228772639004,0.178777929637096,0.027108,0.16465499999999997,0.04488038918187599,0.030805259454584004,1.21825037818336,0.30834,0.539595,0.28179,1.07061389181876,0.09036,0.18072,0.036143999999999996,0.9036,0.4518,0.72288,0.27108,0.36144
7,2.4659763999999997,0.010176493110269198,0.24876464314744157,0.2279039073605812,0.08195575369268139,0.140090214622036,0.027575999999999996,0.208005,0.038214464312265994,0.026676642874844,1.17854571499376,0.29566,0.517405,0.25965,1.04169464312266,0.09191999999999999,0.18383999999999998,0.036767999999999995,0.9192,0.4596,0.7353599999999999,0.27576,0.36767999999999995
8,3.265257,0.024003521832575998,0.305829514549248,0.26883438591193604,0.100427190528192,0.17562779124608002,0.027452999999999998,0.14057,0.04688885194048,0.03196156796032,1.2859427184128,0.3239,0.566825,0.30283000000000004,1.0811585194048,0.09151000000000001,0.18302000000000002,0.036604000000000005,0.9151,0.45755,0.7320800000000001,0.27453,0.36604000000000003
9,5.5951886,0.10484038233749078,0.43356782240103836,0.3525116918007788,0.1561227425882386,0.296234410098764,0.029004,0.05698,0.068045242902534,0.045427495268356,1.4893398107342402,0.38288,0.67004,0.38096,1.26629242902534,0.09668,0.19336,0.038672,0.9668,0.4834,0.77344,0.29003999999999996,0.38672
10,5.592534000000001,0.10926603167537198,0.42794909227105593,0.34643206920329195,0.155524721466874,0.29675864348476,0.028413,0.055995,0.06732747185405999,0.044948981236040006,1.4560392494416001,0.375,0.65625,0.37308,1.2472947185406,0.09471,0.18942,0.037884,0.9471,0.47355,0.75768,0.28413,0.37884
11,4.5536276,0.06783495284560279,0.37771502913761446,0.3162198468532108,0.1314533655239426,0.24240135692772402,0.028299,0.09122000000000001,0.058818554494294004,0.039538702996195996,1.4036681198478402,0.35774000000000006,0.626045,0.34795000000000004,1.18353554494294,0.09433000000000001,0.18866000000000002,0.037732,0.9433,0.47165,0.7546400000000001,0.28299,0.37732000000000004
