gridID,EcotypeID,EcotypeFrac
1,5222,1.0000
2,5222,1.0000
3,5222,1.0000
4,5222,1.0000
5,5222,1.0000
6,5222,1.0000
7,5222,1.0000
8,5222,1.0000
9,5222,1.0000
10,5222,1.0000
11,5222,1.0000
12,5222,1.0000
13,5222,1.0000
14,5222,1.0000
15,5222,1.0000
16,5222,1.0000
17,5222,1.0000
18,5222,1.0000
19,5222,1.0000
20,5222,1.0000
21,5222,1.0000
22,5222,1.0000
23,5222,1.0000
24,5222,1.0000
25,5222,1.0000
26,5222,1.0000
27,5222,1.0000
28,5222,1.0000
29,5222,1.0000
30,5222,1.0000
31,5222,1.0000
32,5222,1.0000
33,5222,1.0000
34,5222,1.0000
35,5222,1.0000
36,5222,1.0000
37,5222,1.0000
38,5222,1.0000
39,5222,1.0000
40,5222,1.0000
41,5222,1.0000
42,5222,1.0000
43,5222,1.0000
44,5222,1.0000
45,5222,1.0000
46,5222,1.0000
47,5222,1.0000
48,5222,1.0000
49,5222,1.0000
50,5222,1.0000
51,5222,1.0000
52,5222,1.0000
53,5222,1.0000
54,5222,1.0000
55,5222,1.0000
56,5222,1.0000
57,5222,1.0000
58,5222,1.0000
59,5222,1.0000
60,5222,1.0000
61,5222,1.0000
62,5222,1.0000
63,5222,1.0000
64,5222,1.0000
65,5222,1.0000
66,5222,1.0000
67,5222,1.0000
68,5222,1.0000
69,5222,1.0000
70,5222,1.0000
71,5222,1.0000
72,5222,1.0000
73,5222,1.0000
74,5222,1.0000
75,5222,1.0000
76,5222,1.0000
77,5222,1.0000
78,5222,1.0000
79,5222,1.0000
80,5222,1.0000
81,5222,1.0000
82,5222,1.0000
83,5222,1.0000
84,5222,1.0000
85,5222,1.0000
86,5222,1.0000
87,5222,1.0000
88,5222,1.0000
89,5222,1.0000
90,5222,1.0000
91,5222,1.0000
92,5222,1.0000
93,5222,1.0000
94,5222,1.0000
95,5222,1.0000
96,5222,1.0000
97,5222,1.0000
98,5222,1.0000
99,5222,1.0000
100,5222,1.0000
101,5222,1.0000
102,5222,1.0000
103,5222,1.0000
104,5222,1.0000
105,5222,1.0000
106,5222,1.0000
107,5222,1.0000
108,5222,1.0000
109,5222,1.0000
110,5222,1.0000
111,5222,1.0000
112,5222,1.0000
113,5222,1.0000
114,5222,1.0000
115,5222,1.0000
116,5222,1.0000
117,5222,1.0000
118,5222,1.0000
119,5222,1.0000
120,5222,1.0000
121,5222,1.0000
122,5222,1.0000
123,5222,1.0000
124,5222,1.0000
125,5222,1.0000
126,5222,1.0000
127,5222,1.0000
128,5222,1.0000
129,5222,1.0000
130,5222,1.0000
131,5222,1.0000
132,5222,1.0000
133,5222,1.0000
134,5222,1.0000
135,5222,1.0000
136,5222,1.0000
137,5222,1.0000
138,5222,1.0000
139,5222,1.0000
140,5222,1.0000
141,5222,1.0000
142,5222,1.0000
143,5222,1.0000
144,5222,1.0000
145,5222,1.0000
146,5222,1.0000
147,5222,1.0000
148,5222,1.0000
149,5222,1.0000
150,5222,1.0000
151,5222,1.0000
152,5222,1.0000
153,5222,1.0000
154,5222,1.0000
155,5222,1.0000
156,5222,1.0000
157,5222,1.0000
158,5222,1.0000
159,5222,1.0000
160,5222,1.0000
161,5222,1.0000
162,5222,1.0000
163,5222,1.0000
164,5222,1.0000
165,5222,1.0000
166,5222,1.0000
167,5222,1.0000
168,5222,1.0000
169,5222,1.0000
170,5222,1.0000
171,5222,1.0000
172,5222,1.0000
173,5222,1.0000
174,5222,1.0000
175,5222,1.0000
176,5222,1.0000
177,5222,1.0000
178,5222,1.0000
179,5222,1.0000
180,5222,1.0000
181,5222,1.0000
182,5222,1.0000
183,5222,1.0000
184,5222,1.0000
185,5222,1.0000
186,5222,1.0000
187,5222,1.0000
188,5222,1.0000
189,5222,1.0000
190,5222,1.0000
191,5222,1.0000
192,5222,1.0000
193,5222,1.0000
194,5222,1.0000
195,5222,1.0000
196,5222,1.0000
197,5222,1.0000
198,5222,1.0000
199,5222,1.0000
200,5222,1.0000
201,5222,1.0000
202,5222,1.0000
203,5222,1.0000
204,5222,1.0000
205,5222,1.0000
206,5222,1.0000
207,5222,1.0000
208,5222,1.0000
209,5222,1.0000
210,5222,1.0000
211,5222,1.0000
212,5222,1.0000
213,5222,1.0000
214,5222,1.0000
215,5222,1.0000
216,5222,1.0000
217,5222,1.0000
218,5222,1.0000
219,5222,1.0000
220,5222,1.0000
221,5222,1.0000
222,5222,1.0000
223,5222,1.0000
224,5222,1.0000
225,5222,1.0000
226,5222,1.0000
227,5222,1.0000
228,5222,1.0000
229,5222,1.0000
230,5222,1.0000
231,5222,1.0000
232,5222,1.0000
233,5222,1.0000
234,5222,1.0000
235,5222,1.0000
236,5222,1.0000
237,5222,1.0000
238,5222,1.0000
239,5222,1.0000
240,5222,1.0000
241,5222,1.0000
242,5222,1.0000
243,5222,1.0000
244,5222,1.0000
245,5222,1.0000
246,5222,1.0000
247,5222,1.0000
248,5222,1.0000
249,5222,1.0000
250,5222,1.0000
251,5222,1.0000
252,5222,1.0000
253,5222,1.0000
254,5222,1.0000
255,5222,1.0000
256,5222,1.0000
257,5222,1.0000
258,5222,1.0000
259,5222,1.0000
260,5222,1.0000
261,5222,1.0000
262,5222,1.0000
263,5222,1.0000
264,5222,1.0000
265,5222,1.0000
266,5222,1.0000
267,5222,1.0000
268,5222,1.0000
269,5222,1.0000
270,5222,1.0000
271,5222,1.0000
272,5222,1.0000
273,5222,1.0000
274,5222,1.0000
275,5222,1.0000
276,5222,1.0000
277,5222,1.0000
278,5222,1.0000
279,5222,1.0000
280,5222,1.0000
281,5222,1.0000
282,5222,1.0000
283,5222,1.0000
284,5222,1.0000
285,5222,1.0000
286,5222,1.0000
287,5222,1.0000
288,5222,1.0000
289,5222,1.0000
290,5222,1.0000
291,5222,1.0000
292,5222,1.0000
293,5222,1.0000
294,5222,1.0000
295,5222,1.0000
296,5222,1.0000
297,5222,1.0000
298,5222,1.0000
299,5222,1.0000
300,5222,1.0000
301,5222,1.0000
302,5222,1.0000
303,5222,1.0000
304,5222,1.0000
305,5222,1.0000
306,5222,1.0000
307,5222,1.0000
308,5222,1.0000
309,5222,1.0000
310,5222,1.0000
311,5222,1.0000
312,5222,1.0000
313,5222,1.0000
314,5222,1.0000
315,5222,1.0000
316,5222,1.0000
317,5222,1.0000
318,5222,1.0000
319,5222,1.0000
320,5222,1.0000
321,5222,1.0000
322,5222,1.0000
323,5222,1.0000
324,5222,1.0000
325,5222,1.0000
326,5222,1.0000
327,5222,1.0000
328,5222,1.0000
329,5222,1.0000
330,5222,1.0000
331,5222,1.0000
332,5222,1.0000
333,5222,1.0000
334,5222,1.0000
335,5222,1.0000
336,5222,1.0000
