gridID,TreeFrac,CropFrac,ShrubFrac,HerbFrac
1,.0514,.3597,.2060,.3276
2,.0222,.4047,.0000,.5187
3,.0196,.4548,.2163,.2698
4,.0168,.4779,.1210,.3484
5,.0494,.5216,.0000,.3928
6,.0341,.5641,.0704,.2932
7,.0198,.4967,.3965,.0449
8,.0102,.4157,.4869,.0290
9,.0475,.4143,.3644,.0987
10,.0136,.4386,.1611,.3113
11,.0011,.4837,.4282,.0000
12,.0035,.5532,.3248,.0000
13,.0500,.4630,.3790,.0000
14,.0640,.4872,.3467,.0275
15,.0527,.3848,.4837,.0156
16,.0426,.3799,.4125,.0000
17,.0482,.4043,.3413,.0000
18,.0399,.3957,.4709,.0000
19,.0439,.4113,.4576,.0000
20,.0386,.3101,.5521,.0000
21,.0444,.4668,.3719,.0000
22,.0296,.8101,.1066,.0000
23,.0181,.8943,.0053,.0000
24,.0130,.5645,.0166,.0978
25,.0143,.6543,.0098,.1339
26,.0132,.5053,.1309,.0000
27,.0200,.9565,.0017,.0000
28,.0061,.9709,.0069,.0000
29,.0089,.8560,.0863,.0000
30,.0026,.7681,.1833,.0000
31,.0002,.8984,.0752,.0000
32,.0155,.9519,.0213,.0000
33,.0031,.9948,.0021,.0000
34,.0000,1.0000,.0000,.0000
35,.0002,.9998,.0000,.0000
36,.0180,.9820,.0000,.0000
37,.0123,.9744,.0000,.0000
38,.0090,.9782,.0000,.0000
39,.0098,.9786,.0000,.0000
40,.0032,.9843,.0000,.0000
41,.0033,.9598,.0000,.0000
42,.0169,.9738,.0000,.0000
43,.0074,.9286,.0000,.0000
44,.0020,.9520,.0000,.0000
45,.0151,.9800,.0000,.0000
46,.0200,.9800,.0000,.0000
47,.0200,.9800,.0000,.0000
48,.0179,.9789,.0000,.0000
49,.0020,.9815,.0000,.0000
50,.0009,.9933,.0000,.0000
51,.0192,.9805,.0000,.0000
52,.0094,.9906,.0000,.0000
53,.0014,.9906,.0000,.0000
54,.0125,.9550,.0000,.0000
55,.0152,.6071,.0000,.1388
56,.0050,.0177,.2582,.2421
57,.0000,.0000,.2450,.2486
58,.0160,.0617,.0475,.5091
59,.0153,.7781,.0094,.0207
60,.0059,.8688,.0100,.0000
61,.0003,.9344,.0000,.0000
62,.0099,.9800,.0000,.0000
63,.0200,.9800,.0000,.0000
64,.0136,.9800,.0000,.0000
65,.0131,.9800,.0000,.0000
66,.0184,.9792,.0000,.0000
67,.0121,.9485,.0000,.0000
68,.0162,.9653,.0000,.0000
69,.0162,.9819,.0000,.0000
70,.0118,.9842,.0040,.0000
71,.0085,.9761,.0093,.0000
72,.0101,.9629,.0050,.0000
73,.0102,.9543,.0350,.0000
74,.0047,.8519,.1129,.0000
75,.0070,.8414,.1304,.0000
76,.0134,.9694,.0146,.0000
77,.0200,.9800,.0000,.0000
78,.0200,.9800,.0000,.0000
79,.0196,.9800,.0004,.0000
80,.0239,.9135,.0625,.0000
81,.0134,.9101,.0150,.0000
82,.0115,.9610,.0161,.0000
83,.0000,.9230,.0696,.0000
84,.0055,.9520,.0395,.0000
85,.0088,.9772,.0000,.0000
86,.0073,.9878,.0000,.0000
87,.0118,.9752,.0130,.0000
88,.0000,.9896,.0103,.0000
89,.0052,.9699,.0000,.0000
90,.0153,.9847,.0000,.0000
91,.0113,.9821,.0047,.0000
92,.0039,.9379,.0340,.0000
93,.0033,.9591,.0142,.0000
94,.0114,.9797,.0008,.0000
95,.0000,.9734,.0000,.0000
96,.0018,.9717,.0000,.0000
97,.0200,.9800,.0000,.0000
98,.0085,.9570,.0000,.0000
99,.0071,.9543,.0000,.0000
100,.0099,.9536,.0000,.0000
101,.0000,.8726,.0000,.0000
102,.0071,.9055,.0000,.0000
103,.0073,.9127,.0000,.0000
104,.0022,.8779,.0000,.0000
105,.0145,.9634,.0000,.0000
106,.0138,.9479,.0000,.0000
107,.0132,.9412,.0000,.0000
108,.0055,.9498,.0000,.0000
109,.0069,.9597,.0000,.0000
110,.0200,.9800,.0000,.0000
111,.0193,.9145,.0000,.0394
112,.0197,.9790,.0000,.0000
113,.0181,.9742,.0000,.0000
114,.0164,.9786,.0000,.0000
115,.0020,.9788,.0000,.0000
116,.0161,.9800,.0000,.0000
117,.0200,.9800,.0000,.0000
118,.0200,.9800,.0000,.0000
119,.0133,.9632,.0000,.0000
120,.0200,.9800,.0000,.0000
121,.0199,.9801,.0000,.0000
122,.0038,.9619,.0000,.0000
123,.0063,.9816,.0000,.0000
