gridID,EcotypeID,EcotypeFrac
1,5222,1.0000
2,5222,1.0000
3,5222,1.0000
4,5222,1.0000
5,5222,1.0000
6,5222,1.0000
7,5222,1.0000
8,5222,.9375
8,5254,.0625
9,5254,.6667
9,5222,.3333
10,5254,1.0000
11,5254,1.0000
12,5254,1.0000
13,5254,1.0000
14,5254,1.0000
15,5254,1.0000
16,5254,1.0000
17,5254,1.0000
18,5254,1.0000
19,5254,1.0000
20,5254,1.0000
21,5254,1.0000
22,5254,1.0000
23,5254,1.0000
24,5254,1.0000
25,5254,1.0000
26,5254,.3125
26,5222,.6875
27,5222,1.0000
28,5222,1.0000
29,5222,1.0000
30,5222,.7500
30,5254,.2500
31,5254,.6000
31,5222,.4000
32,5254,.9375
32,5222,.0625
33,5254,1.0000
34,5254,1.0000
35,5254,1.0000
36,5254,1.0000
37,5254,1.0000
38,5254,1.0000
39,5254,1.0000
40,5254,1.0000
41,5254,1.0000
42,5254,1.0000
43,5254,1.0000
44,5254,1.0000
45,5254,.8750
45,-999,.1250
46,-999,.1000
46,5254,.9000
47,5254,1.0000
48,5254,1.0000
49,5254,1.0000
50,5254,1.0000
51,5254,1.0000
52,5254,1.0000
53,5254,1.0000
54,5254,1.0000
55,5254,1.0000
56,5254,1.0000
57,5254,1.0000
58,5254,1.0000
59,5254,1.0000
60,5254,1.0000
61,5254,1.0000
62,5254,1.0000
63,5254,1.0000
64,5254,1.0000
65,5254,1.0000
66,5254,.6875
66,-999,.3125
67,-999,1.0000
68,-999,1.0000
69,-999,1.0000
70,-999,1.0000
71,-999,1.0000
72,-999,.7600
72,5254,.2400
73,-999,.6000
73,5254,.4000
74,-999,.2609
74,5254,.7391
75,5254,.5625
75,-999,.4375
76,-999,1.0000
77,-999,1.0000
78,-999,1.0000
79,-999,1.0000
80,-999,1.0000
81,-999,1.0000
82,-999,1.0000
83,-999,1.0000
84,-999,1.0000
85,-999,1.0000
86,-999,1.0000
87,-999,1.0000
88,-999,1.0000
89,-999,1.0000
90,-999,1.0000
91,-999,1.0000
92,-999,1.0000
93,-999,1.0000
94,-999,1.0000
95,-999,1.0000
96,-999,1.0000
97,-999,1.0000
98,-999,1.0000
99,-999,1.0000
100,-999,1.0000
101,-999,1.0000
102,-999,1.0000
103,-999,1.0000
104,-999,1.0000
105,-999,1.0000
106,-999,1.0000
107,-999,1.0000
108,-999,1.0000
109,-999,1.0000
110,-999,1.0000
111,-999,1.0000
112,-999,1.0000
113,-999,1.0000
114,-999,1.0000
115,-999,1.0000
116,-999,1.0000
117,-999,1.0000
118,-999,1.0000
119,-999,1.0000
120,-999,1.0000
121,-999,1.0000
122,-999,1.0000
123,-999,1.0000
124,-999,1.0000
125,-999,1.0000
126,-999,1.0000
127,-999,1.0000
128,-999,1.0000
129,-999,1.0000
130,-999,1.0000
131,5222,1.0000
132,5222,1.0000
133,5222,1.0000
134,5222,1.0000
135,5222,1.0000
136,5222,1.0000
137,5222,1.0000
138,5222,1.0000
139,5222,.8750
139,5254,.1250
140,5254,.7500
140,5222,.2500
141,5254,1.0000
142,5254,1.0000
143,5254,1.0000
144,5254,1.0000
145,5254,1.0000
146,5254,1.0000
147,5254,1.0000
148,5254,1.0000
149,5254,1.0000
150,5254,1.0000
151,5254,1.0000
152,5254,1.0000
153,5254,1.0000
154,5254,1.0000
155,5254,1.0000
156,5254,.5000
156,5222,.5000
157,5222,1.0000
158,5222,1.0000
159,5222,1.0000
160,5222,1.0000
161,5222,1.0000
162,5222,.6250
162,5254,.3750
163,5254,.9500
163,5222,.0500
164,5254,1.0000
165,5254,1.0000
166,5254,1.0000
167,5254,1.0000
168,5254,1.0000
169,5254,1.0000
170,5254,1.0000
171,5254,1.0000
172,5254,1.0000
173,5254,1.0000
174,5254,1.0000
175,5254,1.0000
176,5254,1.0000
177,5254,1.0000
178,5254,1.0000
179,5254,1.0000
180,5254,1.0000
181,5254,1.0000
182,5254,1.0000
183,5254,1.0000
184,5254,1.0000
185,5254,1.0000
186,5254,1.0000
187,5254,1.0000
188,5254,1.0000
189,5254,1.0000
190,5254,1.0000
191,5254,1.0000
192,5254,1.0000
193,5254,1.0000
194,5254,1.0000
195,5254,1.0000
196,5254,.6250
196,-999,.3750
197,-999,1.0000
198,-999,1.0000
199,-999,1.0000
200,-999,1.0000
201,-999,.4118
201,5254,.5882
202,-999,.0500
202,5254,.9500
203,5254,.9375
203,-999,.0625
204,5254,.9565
204,-999,.0435
205,5254,.7500
205,-999,.2500
206,-999,1.0000
207,-999,1.0000
208,-999,1.0000
209,-999,1.0000
210,-999,1.0000
211,-999,1.0000
212,-999,1.0000
213,-999,1.0000
214,-999,1.0000
215,-999,1.0000
216,-999,1.0000
217,-999,1.0000
218,-999,1.0000
219,-999,1.0000
220,-999,1.0000
221,-999,1.0000
222,-999,1.0000
223,-999,1.0000
224,-999,1.0000
225,-999,1.0000
226,-999,1.0000
227,-999,1.0000
228,-999,1.0000
229,-999,1.0000
230,-999,1.0000
231,-999,1.0000
232,-999,1.0000
233,-999,1.0000
234,-999,1.0000
235,-999,1.0000
236,-999,1.0000
237,-999,1.0000
238,-999,1.0000
239,-999,1.0000
240,-999,1.0000
241,-999,1.0000
242,-999,1.0000
243,-999,1.0000
244,-999,1.0000
245,-999,1.0000
246,-999,1.0000
247,-999,1.0000
248,-999,1.0000
249,-999,1.0000
250,-999,1.0000
251,-999,1.0000
252,-999,1.0000
253,-999,1.0000
254,-999,1.0000
255,-999,1.0000
256,-999,1.0000
257,-999,1.0000
258,-999,1.0000
259,-999,1.0000
260,-999,1.0000
261,5222,1.0000
262,5222,1.0000
263,5222,1.0000
264,5222,1.0000
265,5222,1.0000
266,5222,1.0000
267,5222,1.0000
268,5222,1.0000
269,5222,1.0000
270,5222,.8500
270,5254,.1500
271,5254,.6316
271,5222,.3684
272,5254,.9200
272,5222,.0800
273,5254,1.0000
274,5254,1.0000
275,5254,1.0000
276,5254,1.0000
277,5254,1.0000
278,5254,1.0000
279,5254,1.0000
280,5254,1.0000
281,5254,1.0000
282,5254,1.0000
283,5254,1.0000
284,5254,1.0000
285,5254,.9600
285,5222,.0400
286,5254,.4000
286,5222,.6000
287,5222,1.0000
288,5222,1.0000
289,5222,1.0000
290,5222,1.0000
291,5222,1.0000
292,5222,1.0000
293,5222,.4000
293,5254,.6000
294,5254,1.0000
295,5254,1.0000
296,5254,1.0000
297,5254,1.0000
298,5254,1.0000
299,5254,1.0000
300,5254,1.0000
301,5254,1.0000
302,5254,1.0000
303,5254,1.0000
304,5254,1.0000
305,5254,1.0000
306,5254,1.0000
307,5254,1.0000
308,5254,1.0000
309,5254,1.0000
310,5254,1.0000
311,5254,1.0000
312,5254,1.0000
