gridID,TreeFrac,CropFrac,ShrubFrac,HerbFrac
1,.0000,.0000,.0000,.0000
2,.0000,.0000,.0000,.0000
3,.0000,.0000,.0000,.0000
4,.0000,.0000,.0000,.0000
5,.0000,.0000,.0000,.0000
6,.0000,.0000,.0000,.0000
7,.0000,.0000,.0000,.0000
8,.0000,.0000,.0000,.0000
9,.0000,.0000,.0000,.0000
10,.0000,.0000,.0000,.0000
11,.0000,.0000,.0000,.0000
12,.0000,.0000,.0000,.0000
13,.0000,.0000,.0000,.0000
14,.0000,.0000,.0000,.0000
15,.0000,.0000,.0000,.0000
16,.0000,.0000,.0000,.0000
17,.0000,.0000,.0000,.0000
18,.0000,.0000,.0000,.0000
19,.0000,.0000,.0000,.0000
20,.0000,.0000,.0000,.0000
21,.0000,.0000,.0000,.0000
22,.0000,.0000,.0000,.0000
23,.0000,.0000,.0000,.0000
24,.0000,.0000,.0000,.0000
25,.0000,.0000,.0000,.0000
26,.0000,.0000,.0000,.0000
27,.0000,.0000,.0000,.0000
28,.0000,.0000,.0000,.0000
29,.0000,.0000,.0000,.0000
30,.0000,.0000,.0000,.0000
31,.0000,.0000,.0000,.0000
32,.0000,.0000,.0000,.0000
33,.0000,.0000,.0000,.0000
34,.0000,.0000,.0000,.0000
35,.0000,.0000,.0000,.0000
36,.0000,.0000,.0000,.0000
37,.0000,.0000,.0000,.0000
38,.0000,.0000,.0000,.0000
39,.0000,.0000,.0000,.0000
40,.0000,.0000,.0000,.0000
41,.1039,.0001,.0519,.0130
42,.1853,.0051,.0800,.0584
43,.0000,.0000,.0000,.0000
44,.0000,.0000,.0000,.0000
45,.0000,.0000,.0000,.0000
46,.0000,.0000,.0000,.0000
47,.0000,.0000,.0000,.0000
48,.0000,.0000,.0000,.0000
49,.0000,.0000,.0000,.0000
50,.0000,.0000,.0000,.0000
51,.0000,.0000,.0000,.0000
52,.0000,.0000,.0000,.0000
53,.0000,.0000,.0000,.0000
54,.0000,.0000,.0000,.0000
55,.0000,.0000,.0000,.0000
56,.0000,.0000,.0000,.0000
57,.0000,.0000,.0000,.0000
58,.0000,.0000,.0000,.0000
59,.0000,.0000,.0000,.0000
60,.0000,.0000,.0000,.0000
61,.0000,.0000,.0000,.0000
62,.0000,.0000,.0000,.0000
63,.0000,.0000,.0000,.0000
64,.0000,.0000,.0000,.0000
65,.0000,.0000,.0001,.0000
66,.1078,.0000,.0535,.0195
67,.2750,.0183,.0786,.0590
68,.2327,.0083,.0715,.0620
69,.5296,.0023,.1159,.1107
70,.7621,.0275,.1656,.0036
71,.8412,.0048,.1145,.0000
72,.7998,.0634,.1083,.0001
73,.0516,.4701,.0477,.0107
74,.0000,.0000,.0000,.0000
75,.0000,.0000,.0000,.0000
76,.0000,.0000,.0000,.0000
77,.0000,.0000,.0000,.0000
78,.0000,.0000,.0000,.0000
79,.0000,.0000,.0000,.0000
80,.0000,.0000,.0000,.0000
81,.0000,.0000,.0000,.0000
82,.0000,.0000,.0000,.0000
83,.0000,.0000,.0000,.0000
84,.1924,.0003,.0530,.0218
85,.0014,.0258,.0063,.0049
86,.5674,.0927,.0508,.0047
87,.9574,.0000,.0163,.0000
88,.9111,.0225,.0388,.0000
89,.9142,.0000,.0547,.0000
90,.8873,.0000,.0809,.0000
91,.7797,.0050,.1800,.0000
92,.7248,.0087,.2277,.0008
93,.1694,.4374,.2825,.0042
94,.0502,.6813,.0759,.0254
95,.0298,.5181,.1060,.0781
96,.0326,.8345,.0544,.0062
97,.1007,.5701,.2221,.0333
98,.1256,.4487,.2706,.0299
99,.0974,.6447,.1307,.0256
100,.6017,.2055,.1347,.0018
101,.4414,.2286,.2825,.0025
102,.6746,.0480,.2274,.0030
103,.7437,.1222,.0928,.0002
104,.8105,.0369,.1187,.0002
105,.7874,.0163,.1469,.0000
106,.4579,.1353,.3133,.0079
107,.7921,.0527,.1080,.0002
108,.6456,.1853,.1243,.0003
109,.5164,.1728,.2661,.0000
110,.8458,.0224,.0886,.0002
111,.7829,.0742,.1009,.0001
