gridID,EcotypeID,EcotypeFrac
1,5254,.9040
1,-999,.0960
2,-999,.1339
2,5254,.8661
3,5254,.7752
3,-999,.2248
4,-999,.9174
4,5254,.0826
5,-999,.8793
5,5254,.1207
6,-999,.2222
6,5254,.7778
7,5254,.7107
7,-999,.2893
8,-999,.4262
8,5254,.5738
9,5254,1.0000
10,5254,1.0000
11,5254,1.0000
12,5254,1.0000
13,5254,1.0000
14,5254,1.0000
15,5254,.9174
15,-999,.0826
16,-999,.2203
16,5254,.7797
17,5254,1.0000
18,5254,1.0000
19,5254,1.0000
20,5254,1.0000
21,5254,1.0000
22,5254,1.0000
23,5254,1.0000
24,5254,1.0000
25,5254,1.0000
26,5254,1.0000
27,5254,1.0000
28,5254,1.0000
29,5254,1.0000
30,5254,1.0000
31,5254,1.0000
32,5254,1.0000
33,5254,1.0000
34,5254,1.0000
35,5254,1.0000
36,5254,1.0000
37,5254,1.0000
38,5254,1.0000
39,5254,1.0000
40,5254,.9752
40,-999,.0248
41,5254,.7634
41,-999,.2366
42,-999,.0455
42,5254,.9545
43,5254,.8273
43,-999,.1727
44,-999,.8833
44,5254,.1167
45,-999,.7364
45,5254,.2636
46,-999,.6636
46,5254,.3364
47,-999,.0076
47,5254,.9924
48,5254,.9256
48,-999,.0744
49,-999,.8864
49,5254,.1136
50,-999,.6694
50,5254,.3306
51,-999,.6116
51,5254,.3884
52,-999,1.0000
53,-999,.7190
53,5254,.2810
54,-999,.8099
54,5254,.1901
55,-999,1.0000
56,-999,1.0000
57,-999,1.0000
58,-999,1.0000
59,-999,1.0000
60,-999,1.0000
61,-999,1.0000
62,-999,1.0000
63,-999,1.0000
64,-999,1.0000
65,-999,1.0000
66,-999,1.0000
67,-999,1.0000
68,-999,1.0000
69,-999,1.0000
70,-999,1.0000
71,-999,1.0000
72,-999,1.0000
73,-999,1.0000
74,-999,1.0000
75,-999,1.0000
76,-999,1.0000
77,-999,1.0000
78,-999,1.0000
79,-999,1.0000
80,-999,1.0000
81,-999,1.0000
