gridID,EcotypeID,EcotypeFrac
1,5279,1.0000
2,5279,1.0000
3,5279,1.0000
4,5279,1.0000
5,5279,1.0000
6,5279,1.0000
7,5279,1.0000
8,5279,1.0000
9,5279,.9915
9,5243,.0085
10,5279,.3860
10,5243,.6140
11,5243,1.0000
12,5243,.8390
12,5241,.1610
13,5243,.0348
13,5241,.9652
14,5241,1.0000
15,5241,1.0000
16,5241,1.0000
17,5241,1.0000
18,5241,1.0000
19,5241,1.0000
20,5241,1.0000
21,5241,1.0000
22,5241,1.0000
23,5241,1.0000
24,5241,1.0000
25,5241,1.0000
26,5241,1.0000
27,5241,1.0000
28,5241,1.0000
29,5241,1.0000
30,5241,1.0000
31,5241,1.0000
32,5241,1.0000
33,5241,.5537
33,5246,.4463
34,5246,.5487
34,-999,.4513
35,-999,1.0000
36,-999,1.0000
37,-999,1.0000
38,-999,1.0000
39,-999,1.0000
40,-999,1.0000
41,-999,1.0000
42,-999,1.0000
43,-999,1.0000
44,-999,1.0000
45,-999,1.0000
46,-999,1.0000
47,-999,1.0000
48,-999,1.0000
49,-999,1.0000
50,-999,1.0000
51,-999,1.0000
52,-999,1.0000
53,-999,1.0000
54,-999,1.0000
55,-999,1.0000
56,-999,1.0000
57,-999,1.0000
58,-999,1.0000
59,-999,1.0000
60,-999,1.0000
61,-999,1.0000
62,-999,1.0000
63,-999,1.0000
64,-999,1.0000
65,-999,1.0000
66,-999,1.0000
67,-999,1.0000
68,-999,1.0000
69,-999,1.0000
70,-999,1.0000
71,-999,1.0000
72,-999,1.0000
73,-999,1.0000
74,-999,1.0000
75,-999,1.0000
76,-999,1.0000
77,-999,1.0000
78,-999,1.0000
79,-999,1.0000
80,-999,1.0000
81,-999,1.0000
82,-999,1.0000
83,-999,1.0000
84,-999,1.0000
85,-999,1.0000
86,-999,1.0000
87,-999,1.0000
88,-999,1.0000
89,-999,1.0000
90,-999,1.0000
91,-999,1.0000
92,-999,1.0000
93,-999,1.0000
94,-999,1.0000
95,-999,1.0000
96,-999,1.0000
97,-999,1.0000
98,-999,1.0000
99,-999,1.0000
100,-999,1.0000
101,-999,1.0000
102,-999,1.0000
103,-999,1.0000
104,-999,1.0000
105,-999,1.0000
106,-999,1.0000
107,-999,1.0000
108,-999,1.0000
109,-999,1.0000
110,-999,1.0000
111,-999,1.0000
112,-999,1.0000
113,-999,1.0000
114,-999,1.0000
115,-999,1.0000
116,-999,1.0000
117,-999,1.0000
118,-999,1.0000
119,-999,1.0000
120,-999,1.0000
121,-999,1.0000
122,-999,1.0000
123,-999,1.0000
124,-999,1.0000
125,-999,1.0000
126,-999,1.0000
127,-999,1.0000
128,-999,1.0000
129,-999,1.0000
130,-999,1.0000
131,-999,1.0000
132,-999,1.0000
133,-999,1.0000
134,-999,1.0000
135,-999,1.0000
136,-999,1.0000
137,-999,1.0000
138,-999,1.0000
139,-999,1.0000
140,-999,1.0000
141,-999,1.0000
142,-999,1.0000
143,-999,1.0000
144,-999,1.0000
145,-999,1.0000
146,-999,1.0000
147,-999,1.0000
148,-999,1.0000
149,-999,1.0000
150,-999,1.0000
151,-999,1.0000
152,-999,1.0000
153,-999,1.0000
154,-999,1.0000
155,-999,1.0000
156,-999,1.0000
157,-999,1.0000
158,-999,1.0000
159,-999,1.0000
160,-999,1.0000
161,-999,1.0000
162,-999,1.0000
163,-999,1.0000
164,-999,1.0000
165,-999,1.0000
166,-999,1.0000
167,-999,1.0000
168,-999,1.0000
169,-999,1.0000
170,-999,1.0000
171,-999,1.0000
172,-999,1.0000
173,-999,1.0000
174,-999,1.0000
175,-999,1.0000
176,-999,1.0000
177,-999,1.0000
178,-999,1.0000
179,-999,1.0000
180,-999,1.0000
181,-999,1.0000
182,-999,1.0000
183,-999,1.0000
184,-999,1.0000
185,-999,1.0000
186,-999,1.0000
187,-999,1.0000
188,-999,1.0000
189,-999,1.0000
190,-999,1.0000
191,-999,1.0000
192,-999,1.0000
193,-999,1.0000
194,-999,1.0000
195,-999,1.0000
196,-999,1.0000
197,-999,1.0000
198,-999,1.0000
199,-999,1.0000
200,5279,1.0000
201,5279,1.0000
202,5279,1.0000
203,5279,1.0000
204,5279,1.0000
205,5279,1.0000
206,5279,1.0000
207,5279,1.0000
208,5279,.8017
208,5243,.1983
209,5279,.0169
209,5243,.9831
210,5243,.8596
210,5241,.1404
211,5243,.1739
211,5241,.8261
212,5241,1.0000
213,5241,1.0000
214,5241,1.0000
215,5241,1.0000
216,5241,1.0000
217,5241,1.0000
218,5241,1.0000
219,5241,1.0000
220,5241,1.0000
221,5241,1.0000
222,5241,1.0000
223,5241,1.0000
224,5241,1.0000
225,5241,1.0000
226,5241,1.0000
227,5241,1.0000
228,5241,1.0000
229,5241,1.0000
230,5241,1.0000
231,5241,.6446
231,5246,.3554
232,5241,.0982
232,5246,.9018
233,5246,.8583
233,-999,.1417
234,-999,.9279
234,5246,.0721
235,-999,1.0000
236,-999,1.0000
237,-999,1.0000
238,-999,1.0000
239,-999,1.0000
240,-999,1.0000
241,-999,1.0000
242,-999,1.0000
243,-999,1.0000
244,-999,1.0000
245,-999,1.0000
246,-999,1.0000
247,-999,1.0000
248,-999,1.0000
249,-999,1.0000
250,-999,1.0000
251,-999,1.0000
252,-999,1.0000
253,-999,1.0000
254,-999,1.0000
255,-999,1.0000
256,-999,1.0000
257,-999,1.0000
258,-999,1.0000
259,-999,1.0000
260,-999,1.0000
261,-999,1.0000
262,-999,1.0000
263,-999,1.0000
264,-999,1.0000
265,-999,1.0000
266,-999,1.0000
267,-999,1.0000
268,-999,1.0000
269,-999,1.0000
270,-999,1.0000
271,-999,1.0000
272,-999,1.0000
273,-999,1.0000
274,-999,1.0000
275,-999,1.0000
276,-999,1.0000
277,-999,1.0000
278,-999,1.0000
279,-999,1.0000
280,-999,1.0000
281,-999,1.0000
282,-999,1.0000
283,-999,1.0000
284,-999,1.0000
285,-999,1.0000
286,-999,1.0000
287,-999,1.0000
288,-999,1.0000
289,-999,1.0000
290,-999,1.0000
291,-999,1.0000
292,-999,1.0000
293,-999,1.0000
294,-999,1.0000
295,-999,1.0000
296,-999,1.0000
297,-999,1.0000
298,-999,1.0000
299,-999,1.0000
300,-999,1.0000
301,-999,1.0000
302,-999,1.0000
303,-999,1.0000
304,-999,1.0000
305,-999,1.0000
306,-999,1.0000
307,-999,1.0000
308,-999,1.0000
309,-999,1.0000
310,-999,1.0000
311,-999,1.0000
312,-999,1.0000
313,-999,1.0000
314,-999,1.0000
315,-999,1.0000
316,-999,1.0000
317,-999,1.0000
318,-999,1.0000
319,-999,1.0000
320,-999,1.0000
321,-999,1.0000
322,-999,1.0000
323,-999,1.0000
324,-999,1.0000
325,-999,1.0000
326,-999,1.0000
327,-999,1.0000
328,-999,1.0000
329,-999,1.0000
330,-999,1.0000
331,-999,1.0000
332,-999,1.0000
333,-999,1.0000
334,-999,1.0000
335,-999,1.0000
336,-999,1.0000
337,-999,1.0000
338,-999,1.0000
339,-999,1.0000
340,-999,1.0000
341,-999,1.0000
342,-999,1.0000
343,-999,1.0000
344,-999,1.0000
345,-999,1.0000
346,-999,1.0000
347,-999,1.0000
348,-999,1.0000
349,-999,1.0000
350,-999,1.0000
351,-999,1.0000
352,-999,1.0000
353,-999,1.0000
354,-999,1.0000
355,-999,1.0000
356,-999,1.0000
357,-999,1.0000
358,-999,1.0000
359,-999,1.0000
360,-999,1.0000
361,-999,1.0000
362,-999,1.0000
363,-999,1.0000
364,-999,1.0000
365,-999,1.0000
366,-999,1.0000
367,-999,1.0000
368,-999,1.0000
369,-999,1.0000
370,-999,1.0000
371,-999,1.0000
372,-999,1.0000
373,-999,1.0000
374,-999,1.0000
375,-999,1.0000
376,-999,1.0000
377,-999,1.0000
378,-999,1.0000
379,-999,1.0000
380,-999,1.0000
381,-999,1.0000
382,-999,1.0000
383,-999,1.0000
384,-999,1.0000
385,-999,1.0000
386,-999,1.0000
387,-999,1.0000
388,-999,1.0000
389,-999,1.0000
390,-999,1.0000
391,-999,1.0000
392,-999,1.0000
393,-999,1.0000
394,-999,1.0000
395,-999,1.0000
396,-999,1.0000
397,-999,1.0000
398,-999,1.0000
399,5279,1.0000
400,5279,1.0000
401,5279,1.0000
402,5279,1.0000
403,5279,1.0000
404,5279,1.0000
405,5279,1.0000
406,5279,.8136
406,5243,.1864
407,5279,.2137
407,5243,.7863
408,5243,.9826
408,5241,.0174
409,5243,.3109
409,5241,.6891
410,5241,1.0000
411,5241,1.0000
412,5241,1.0000
413,5241,1.0000
414,5241,1.0000
415,5241,1.0000
416,5241,1.0000
417,5241,1.0000
418,5241,1.0000
419,5241,1.0000
420,5241,1.0000
421,5241,1.0000
422,5241,1.0000
423,5241,1.0000
424,5241,1.0000
425,5241,1.0000
426,5241,1.0000
427,5241,1.0000
428,5241,.9204
428,5246,.0796
429,5241,.4132
429,5246,.5868
430,5241,.0177
430,5246,.9823
431,5246,1.0000
432,5246,.9911
432,-999,.0089
433,5246,.2951
433,-999,.7049
434,-999,1.0000
435,-999,1.0000
436,-999,1.0000
437,-999,1.0000
438,-999,1.0000
439,-999,1.0000
440,-999,1.0000
441,-999,1.0000
442,-999,1.0000
443,-999,1.0000
444,-999,1.0000
445,-999,1.0000
446,-999,1.0000
447,-999,1.0000
448,-999,1.0000
449,-999,1.0000
450,-999,1.0000
451,-999,1.0000
452,-999,1.0000
453,-999,1.0000
454,-999,1.0000
455,-999,1.0000
456,-999,1.0000
457,-999,1.0000
458,-999,1.0000
459,-999,1.0000
460,-999,1.0000
461,-999,1.0000
462,-999,1.0000
463,-999,1.0000
464,-999,1.0000
