gridID,TreeFrac,CropFrac,ShrubFrac,HerbFrac
1,.0676,.1826,.6087,.0000
2,.0674,.3249,.4568,.0000
3,.0536,.1954,.5666,.0000
4,.0208,.0833,.1335,.5351
5,.0557,.3903,.3373,.0360
6,.0108,.4017,.5179,.0000
7,.0000,.2876,.6128,.0000
8,.0477,.2100,.6252,.0000
9,.0920,.0000,.7827,.0000
10,.0473,.0000,.8073,.0000
11,.0000,.1215,.6937,.0000
12,.0000,.3262,.5045,.0000
13,.1937,.1729,.5163,.0000
14,.1211,.1838,.5596,.0000
15,.2128,.1056,.5711,.0000
16,.2514,.3581,.3023,.0000
17,.1681,.3718,.3677,.0000
18,.1906,.2593,.4653,.0000
19,.2706,.0495,.6083,.0000
20,.4153,.0051,.5076,.0000
21,.4778,.0028,.4685,.0000
22,.5497,.0106,.3914,.0000
23,.6432,.0027,.3174,.0000
24,.5713,.0020,.4120,.0000
25,.7125,.0084,.2654,.0000
26,.8309,.0000,.1633,.0000
27,.8438,.0000,.1426,.0000
28,.8350,.0000,.1450,.0000
29,.8201,.0000,.1587,.0000
30,.5970,.0000,.3737,.0000
31,.5776,.0000,.3930,.0000
32,.4884,.0000,.4867,.0000
33,.6160,.0000,.3631,.0000
34,.5526,.0000,.4263,.0000
35,.5136,.0000,.4725,.0000
36,.5597,.0000,.4176,.0000
37,.7937,.0000,.1787,.0000
38,.7900,.0000,.1766,.0000
39,.8029,.0000,.1586,.0000
40,.7947,.0000,.1796,.0000
41,.8264,.0000,.1536,.0000
42,.7285,.1010,.1390,.0000
43,.5124,.1905,.2244,.0000
44,.3223,.0959,.5077,.0000
45,.4270,.0105,.4838,.0000
46,.3507,.0052,.5387,.0315
47,.3529,.2708,.2557,.0044
48,.0191,.3985,.4768,.0000
49,.2315,.1439,.5541,.0000
50,.4931,.0000,.4410,.0000
51,.2065,.0000,.7465,.0000
52,.5993,.0000,.3521,.0000
53,.5215,.0000,.4367,.0000
54,.4816,.0000,.3169,.1579
55,.5572,.0000,.1402,.2463
56,.4727,.0000,.3480,.1262
57,.4187,.0000,.5122,.0063
58,.5253,.0012,.4101,.0000
59,.3005,.0023,.6417,.0000
60,.2594,.1204,.5478,.0000
61,.1774,.3701,.3803,.0000
62,.1081,.3605,.4533,.0000
63,.1921,.3570,.3845,.0000
64,.1843,.2286,.5306,.0000
65,.3734,.0483,.5177,.0000
66,.5740,.0000,.3793,.0000
67,.7561,.0000,.2277,.0000
68,.8134,.0000,.1866,.0000
69,.7846,.0000,.2030,.0000
70,.8277,.0000,.1466,.0000
71,.8099,.0000,.1612,.0000
72,.6380,.0000,.3313,.0000
73,.6596,.0346,.2360,.0000
74,.3621,.2442,.2166,.1014
75,.1473,.4273,.1572,.1879
76,.0096,.7447,.1253,.0000
77,.0034,.4350,.4085,.0000
78,.0190,.3498,.4615,.0000
79,.0255,.6164,.1692,.0000
80,.0076,.0883,.7399,.0000
81,.0000,.0625,.8825,.0000
82,.0102,.0514,.8315,.0000
83,.0104,.0407,.2787,.5337
84,.0055,.4300,.3128,.1290
85,.0626,.4831,.3109,.0049
86,.0000,.4579,.3872,.0000
87,.0000,.3854,.4315,.0000
88,.1521,.2728,.4406,.0000
89,.1127,.2493,.4951,.0000
90,.1504,.0913,.6521,.0000
91,.2184,.2334,.4582,.0000
92,.2791,.2618,.3543,.0000
93,.1115,.4013,.4041,.0000
94,.2592,.2228,.4487,.0000
95,.4246,.0782,.4393,.0000
96,.4356,.0570,.4716,.0000
97,.6134,.0000,.3642,.0000
98,.7920,.0000,.1854,.0000
99,.8270,.0010,.1720,.0000
100,.8991,.0039,.0970,.0000
101,.8503,.0000,.1497,.0000
102,.7557,.0000,.2396,.0000
103,.7659,.0000,.2157,.0000
104,.7925,.0000,.1853,.0000
105,.6855,.0000,.2830,.0000
106,.6540,.0000,.3131,.0000
107,.5970,.0000,.3669,.0000
108,.7006,.0000,.2782,.0000
109,.6770,.0000,.3060,.0000
110,.5972,.0000,.3886,.0000
111,.4883,.0000,.4886,.0000
112,.7065,.0000,.2605,.0000
113,.7468,.0000,.2042,.0000
114,.7697,.0000,.1860,.0000
115,.7411,.0000,.2194,.0000
116,.7300,.0000,.2416,.0000
117,.8135,.0000,.1621,.0000
118,.5199,.0531,.3836,.0000
119,.1882,.2284,.5068,.0000
120,.3435,.1977,.3859,.0000
121,.2867,.1308,.4233,.0824
122,.3125,.3110,.2874,.0110
123,.0362,.4968,.3984,.0000
124,.2008,.1494,.5773,.0000
125,.4228,.0000,.5096,.0000
126,.5196,.0000,.3790,.0535
127,.5286,.0000,.4179,.0022
128,.5137,.0000,.4317,.0000
129,.4784,.0215,.4650,.0000
130,.4756,.0654,.4042,.0000
131,.3467,.0441,.5399,.0010
132,.2839,.0000,.5506,.0851
133,.4116,.0584,.4375,.0000
134,.3137,.2321,.3763,.0000
135,.0683,.2373,.6191,.0000
136,.3349,.2454,.3437,.0000
137,.4980,.2805,.1770,.0000
138,.2437,.2441,.4651,.0000
139,.2525,.1836,.3882,.1340
140,.4749,.2305,.1986,.0530
141,.6442,.0441,.2799,.0000
142,.8271,.0000,.1538,.0000
143,.8249,.0000,.1661,.0000
144,.7370,.0000,.2502,.0000
145,.8094,.0000,.1688,.0000
146,.8182,.0000,.1598,.0000
147,.7607,.0000,.2150,.0000
148,.7430,.0099,.1984,.0000
149,.4688,.0782,.2207,.1610
150,.3728,.1044,.3209,.1170
151,.0299,.4111,.4175,.0000
152,.0242,.2860,.5431,.0000
153,.0239,.3328,.4067,.0901
154,.0514,.6261,.1536,.0266
155,.0633,.7246,.1059,.0000
156,.0010,.7438,.1805,.0000
157,.0188,.7569,.0893,.0000
158,.0470,.7714,.0433,.0000
159,.0078,.5531,.2947,.0090
160,.0017,.5112,.0989,.2448
161,.0067,.4219,.4024,.0000
162,.0030,.4954,.3365,.0000
163,.0523,.2746,.5271,.0000
164,.1039,.1910,.5814,.0000
165,.1603,.0717,.6539,.0000
166,.3930,.1101,.4254,.0000
167,.4268,.2169,.2828,.0000
168,.2914,.3852,.2243,.0000
169,.1328,.3871,.3594,.0000
170,.2944,.1988,.4197,.0000
171,.4465,.2638,.2506,.0000
172,.6226,.0926,.2399,.0000
173,.7212,.0134,.2551,.0000
174,.8559,.0000,.1411,.0000
175,.8894,.0000,.1007,.0000
176,.8865,.0000,.1135,.0000
177,.8647,.0000,.1353,.0000
178,.8644,.0000,.1173,.0000
179,.7937,.0000,.1784,.0000
180,.7604,.0000,.2096,.0000
181,.7416,.0000,.2265,.0000
182,.7300,.0000,.2391,.0000
183,.7081,.0000,.2598,.0000
184,.6298,.0000,.3461,.0000
185,.6764,.0000,.3102,.0000
186,.6098,.0000,.3706,.0000
187,.6196,.0000,.3275,.0000
188,.7402,.0000,.2179,.0000
189,.8140,.0000,.1579,.0000
190,.7674,.0000,.1922,.0000
191,.6578,.0000,.2976,.0000
192,.6916,.0000,.2812,.0000
193,.4657,.0516,.4477,.0000
194,.3063,.2891,.3528,.0000
195,.2990,.4037,.2454,.0000
196,.1388,.4057,.3729,.0000
197,.1042,.5027,.2959,.0000
198,.1637,.5177,.2261,.0104
199,.1258,.3226,.4363,.0197
200,.2964,.1331,.4875,.0000
201,.4191,.0194,.3461,.1526
202,.3635,.0984,.4771,.0048
203,.3458,.1394,.4496,.0000
204,.3417,.2090,.3958,.0000
205,.3313,.4161,.1920,.0000
206,.1218,.2790,.5407,.0000
207,.3986,.0123,.5246,.0000
208,.2974,.2022,.4343,.0000
209,.1685,.3991,.3710,.0000
210,.2967,.0978,.5563,.0000
